name,link,country,fact_reporting,media_type,traffic,press_freedom,cred_rank,bias
WPHL 17,https://phl17.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WTIC – Hartford News,https://www.fox61.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WTVY News4,https://www.wtvy.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WikiNews,https://en.wikinews.org/wiki/Main_Page,USA,HIGH,Website,Medium Traffic,MOSTLY FREE,N/A,center
Wikipedia,https://www.wikipedia.org/,USA (44/180 Press Freedom),MIXED,Organization/Foundation,High Traffic,N/A,N/A,center
Winnipeg Free Press,https://www.winnipegfreepress.com/,Canada,HIGH,N/A,N/A,N/A,N/A,center
Winona Daily News,https://www.winonadailynews.com/,USA,HIGH,Newspaper,Minimal Traffic,MOSTLY FREE,N/A,center
Winston-Salem Journal,http://www.journalnow.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
WION (World is One News),https://www.wionews.com/,India (142/180 Press Freedom),MIXED,Website,Medium Traffic,N/A,N/A,center
Wisconsin State Journal,https://madison.com/wsj,USA (44/180 Press Freedom),HIGH,Newspaper,Medium Traffic,N/A,N/A,center
WJZY – Charlotte,https://www.fox46.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WKRN – Nashville News,https://www.wkrn.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WKYT News,https://www.wvlt.tv/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WLFL – CW 22,https://raleighcw.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WMC – Memphis News,https://www.actionnews5.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,center
WMUR9,https://www.wmur.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
WNEP – Scranton News,https://www.wnep.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WOFL Fox 35 Orlando,https://www.fox35orlando.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
World News,https://wn.com/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,center
Worldometers,https://www.worldometers.info/,USA (44/180 Press Freedom),HIGH,Website,High Traffic,N/A,N/A,center
World Politics Review,https://www.worldpoliticsreview.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
World Population Review,http://worldpopulationreview.com/,USA (44/180 Press Freedom),MOSTLY FACTUAL,Website,High Traffic,N/A,N/A,center
WPIX 11,https://pix11.com/,USA,HIGH,TV Station,High Traffic,MOSTLY FREE,N/A,center
WPRI – Providence,https://www.wpri.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,center
WPTA – Fort Wayne,https://www.wpta21.com/,USA (44/180 Press Freedom),HIGH,TV Station,Medium Traffic,N/A,N/A,center
WPXI,https://www.wpxi.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
WRAL,https://www.wral.com/,USA (45/180 Press Freedom),HIGH,TV Station,High Traffic,N/A,N/A,center
WRDW – News 12,https://www.wrdw.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WREG – Memphis,https://www.wreg.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,center
WRIC – Richmond News,https://www.wric.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,center
WROC – Rochester First,https://www.rochesterfirst.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,center
WSAW-TV,https://www.witn.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WSAZ News Channel,https://www.wsaz.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
WSFA – Montgomery,https://www.wsfa.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,center
WSMV – Nashville,https://www.wsmv.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,center
WSPA – Spartanburg News,https://www.wspa.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WTAE Pittsburgh’s Action News 4,https://www.wtae.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
WTAP – Parkersburg News,https://www.wtap.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WTEN – Albany News,https://www.news10.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WTNH – New Haven News,https://www.wtnh.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WTOK-TV,https://www.wtok.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WTTV – Indianapolis,https://cbs4indy.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WTVF – NewsChannel5,https://www.newschannel5.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
WTVG 13 Action News,https://www.13abc.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WTXF-TV Fox 29,https://www.fox29.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WUSA9.com,https://www.wusa9.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
WVEC – 13NewsNow,https://www.13newsnow.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
WVIR – Charlottesville,https://www.nbc29.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WVLT 8,https://www.wvlt.tv/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WWBT – Richmond News,https://www.nbc12.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WWNY – Watertown,https://www.wwnytv.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WWSB – Sarasota,https://www.mysuncoast.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WXIA – 11Alive.com,https://www.11alive.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
WXIN – Fox59 – Indianapolis,https://fox59.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WXIX – Cincinnati News,https://www.fox19.com/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WXXA – Fox23,https://www.news10.com/fox23/,USA,HIGH,TV Station,Medium Traffic,MOSTLY FREE,N/A,center
WYMT – Eastern Kentucky News,https://www.wymt.com/,USA,HIGH,TV Station,Medium Traffic,N/A,N/A,center
ZDNet,https://www.zdnet.com/,USA,HIGH,N/A,N/A,N/A,N/A,center
Accountable.US,https://www.accountable.us/,USA,MOSTLY FACTUAL,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,left
Act.TV,http://act.tv,USA,MOSTLY FACTUAL,Website,Minimal Traffic,MOSTLY FREE,N/A,left
Aftonbladet,https://www.aftonbladet.se,Sweden,MIXED,Newspaper,High Traffic,EXCELLENT,N/A,left
Al DIA,https://aldianews.com,USA,MIXED,Website,Medium Traffic,N/A,N/A,left
Alliance for Justice (AFJ),https://www.afj.org/,USA,HIGH,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,left
Alt News,https://www.altnews.in,India,HIGH,Website,Medium Traffic,LIMITED FREEDOM,N/A,left
AlterNet,https://www.alternet.org/,USA,MIXED,Website,Medium Traffic,MOSTLY FREE,N/A,left
Amandla,http://aidc.org.za/amandla-media/,South Africa,HIGH,Magazine,Minimal Traffic,MOSTLY FREE,N/A,left
AmericaBlog,http://americablog.com/,USA,HIGH,Website,Minimal Traffic,N/A,N/A,left
American Bridge 21st Century,https://americanbridgepac.org/,USA,MIXED,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,left
American Oversight,https://www.americanoversight.org,USA,MOSTLY FACTUAL,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,left
Americans United for Separation of Church and State,https://www.au.org/,USA,HIGH,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,left
Angry White Men,https://angrywhitemen.org,USA,MIXED,N/A,N/A,N/A,N/A,left
Anti-Fascist News,https://antifascistnews.net/,USA,MIXED,N/A,N/A,N/A,N/A,left
Attack The System,https://attackthesystem.com/,USA,MIXED,N/A,N/A,N/A,N/A,left
AutoStraddle,https://www.autostraddle.com/,N/A,N/A,N/A,N/A,N/A,N/A,left
Baltimore City Paper,https://www.baltimoresun.com/citypaper/,USA,MIXED,N/A,N/A,N/A,N/A,left
Bay Area Reporter,http://www.ebar.com/,USA,HIGH,N/A,N/A,N/A,N/A,left
Being Liberal,https://www.facebook.com/pg/beingliberal.org,USA,MIXED,N/A,N/A,N/A,N/A,left
BillMoyers.com,https://billmoyers.com/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
Bitch Media,https://bitchmedia.org/,USA (45/180 Press Freedom),HIGH,Magazine,Medium Traffic,N/A,N/A,left
Black Agenda Report,https://blackagendareport.com/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
Black America Web,https://blackamericaweb.com/,N/A,N/A,N/A,N/A,N/A,N/A,left
Black Lives Matter,https://blacklivesmatter.com,USA (45/180 Press Freedom),MIXED,Organization/Foundation,Medium Traffic,N/A,N/A,left
Black Main Street,https://blackmainstreet.net/,N/A,N/A,N/A,N/A,N/A,N/A,left
Blue State Daily,https://bluestatedaily.com,USA,MIXED,N/A,N/A,N/A,N/A,left
Boing Boing,https://boingboing.net,USA,MIXED,N/A,N/A,N/A,N/A,left
Boston Review,http://bostonreview.net,USA (44/180 Press Freedom),HIGH,Magazine,Minimal Traffic,N/A,N/A,left
Bust Magazine,https://bust.com,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
Call to Activism,https://www.calltoactivism.com/,USA,MOSTLY FACTUAL,Website,High Traffic (Social Media),MOSTLY FREE,N/A,left
Canada Fact Check,https://canadafactcheck.ca,Canada,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
Canadian Dimension,https://canadiandimension.com/,Canada,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
Capital & Main,https://capitalandmain.com,USA (44/180 Press Freedom),HIGH,Website,Minimal Traffic,N/A,N/A,left
Care2,https://www.care2.com,USA,MIXED,N/A,N/A,N/A,N/A,left
Ceasefire Magazine,https://www.care2.com,N/A,N/A,N/A,N/A,N/A,N/A,left
Center for American Progress,https://www.americanprogress.org/,USA,MIXED,Organization/Foundation,Medium Traffic,MOSTLY FREE,N/A,left
Center for Media and Democracy (PR Watch),https://www.prwatch.org/,USA,HIGH,N/A,N/A,N/A,N/A,left
Center for a Stateless Society,https://c4ss.org/,USA,HIGH,N/A,N/A,N/A,N/A,left
Change.org,https://www.change.org/,USA,MIXED,Organization/Foundation,High Traffic,MOSTLY FREE,N/A,left
Chicago Reader,http://www.chicagoreader.com/,USA,HIGH,N/A,N/A,N/A,N/A,left
The Chicago Reporter,https://www.chicagoreporter.com/,USA,HIGH,N/A,N/A,N/A,N/A,left
China Internet Information Center,http://www.china.org.cn/,China,MIXED,N/A,N/A,N/A,N/A,left
Citizen Critics,https://citizencritics.org,USA,HIGH,N/A,N/A,N/A,N/A,left
CNN,https://www.cnn.com/,N/A,N/A,N/A,N/A,N/A,N/A,left
Code Pink,https://www.codepink.org,USA,MIXED,N/A,N/A,N/A,N/A,left
ColorLines,https://www.codepink.org,N/A,N/A,N/A,N/A,N/A,N/A,left
Columbus Free Press,https://columbusfreepress.com,USA,MIXED,N/A,N/A,N/A,N/A,left
Comic Sands,https://www.comicsands.com,USA,MIXED,N/A,N/A,N/A,N/A,left
Common Dreams,https://www.commondreams.org/,USA (45/180 Press Freedom),HIGH,Website,Medium Traffic,N/A,N/A,left
Commune Magazine,https://www.commondreams.org/,USA (44/180 Press Freedom),MIXED,Magazine,Minimal Traffic,N/A,N/A,left
Cop Block,http://www.copblock.org/,USA,MIXED,N/A,N/A,N/A,N/A,left
Cosmopolitan,http://www.cosmopolitan.com/,USA,MIXED,N/A,N/A,N/A,N/A,left
CounterCurrents.org,http://www.countercurrents.org/,India (142/180 Press Freedom),MOSTLY FACTUAL,Website,Medium Traffic,N/A,N/A,left
CounterPunch,https://www.counterpunch.org,USA (44/180 Press Freedom),MOSTLY FACTUAL,Magazine,Medium Traffic,N/A,N/A,left
Crikey,https://www.crikey.com.au/,N/A,N/A,N/A,N/A,N/A,N/A,left
CrimethInc,https://crimethinc.com/,USA (44/180 Press Freedom),HIGH,Organization/Foundation,Medium Traffic,N/A,N/A,left
Crooked Media,https://crooked.com/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
Crooks and Liars,https://crooksandliars.com,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
Current Affairs Magazine,https://www.currentaffairs.org/,USA,HIGH,N/A,N/A,N/A,N/A,left
Curve Magazine,http://www.curvemag.com,USA (44/180 Press Freedom),HIGH,Magazine,Medium Traffic,N/A,N/A,left
Daily Beast,https://www.thedailybeast.com/,USA (45/180 Press Freedom),MIXED,Website,High Traffic,N/A,N/A,left
Daily Dot,https://www.dailydot.com/,USA (44/180 Press Freedom),HIGH,Website,High Traffic,N/A,N/A,left
Daily Kos,https://www.dailykos.com/,USA (45/180 Press Freedom),MIXED,Website,High Traffic,N/A,N/A,left
Daily News Bin,http://www.dailynewsbin.com/,N/A,N/A,N/A,N/A,N/A,N/A,left
Daily Record (Scotland),https://www.dailyrecord.co.uk/,United Kingdom (33/180 Press Freedom),MOSTLY FACTUAL,Newspaper,High Traffic,N/A,N/A,left
Daily Sound and Fury,https://dailysoundandfury.com,USA,MIXED,N/A,N/A,N/A,N/A,left
Dallas Voice,https://dallasvoice.com/,USA,HIGH,N/A,N/A,N/A,N/A,left
DeadState,https://deadstate.org/,USA,HIGH,N/A,N/A,N/A,N/A,left
Deadspin,https://deadspin.com/,USA,HIGH,N/A,N/A,N/A,N/A,left
Deep South Voice,https://deepsouthvoice.com/,USA,MIXED,N/A,N/A,N/A,N/A,left
Democracy Chronicles,https://democracychronicles.org,USA,MOSTLY FACTUAL,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,left
Democracy Guardian,https://democracyguardian.com,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
Democracy Journal,https://democracyjournal.org/,USA (44/180 Press Freedom),HIGH,Journal,Minimal Traffic,N/A,N/A,left
Democracy Now,https://www.democracynow.org/,USA (45/180 Press Freedom),HIGH,"TV Station, Radio",Medium Traffic,N/A,N/A,left
Democratic Underground,https://www.democraticunderground.com/,USA (44/180 Press Freedom),MIXED,Website,High Traffic,N/A,N/A,left
Deshabhimani,https://www.democraticunderground.com/,N/A,N/A,N/A,N/A,N/A,N/A,left
DeSmogBlog,https://www.desmogblog.com/,USA (44/180 Press Freedom),HIGH,Organization/Foundation,Minimal Traffic,N/A,N/A,left
Detroit Metro Times,https://www.metrotimes.com,USA,HIGH,N/A,N/A,N/A,N/A,left
Dissent Magazine,https://www.dissentmagazine.org/,USA,HIGH,N/A,N/A,N/A,N/A,left
Drudge Retort,https://drudge.com/,USA,MIXED,N/A,N/A,N/A,N/A,left
Earth First Journal,http://earthfirstjournal.org/,USA,MIXED,N/A,N/A,N/A,N/A,left
Ecowatch,https://www.ecowatch.com,USA,HIGH,N/A,N/A,N/A,N/A,left
EgbertoWillies,https://egbertowillies.com/,USA (44/180 Press Freedom),HIGH,Website,Minimal Traffic,N/A,N/A,left
Electoral-Vote.com,https://www.electoral-vote.com,Netherlands,HIGH,N/A,N/A,N/A,N/A,left
Electronic Intifada,https://electronicintifada.net/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
Elite Daily,http://elitedaily.com/,USA,MIXED,N/A,N/A,N/A,N/A,left
ELLE Magazine,http://elitedaily.com/,N/A,N/A,N/A,N/A,N/A,N/A,left
Esquire Magazine,https://www.esquire.com,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
Everyday Feminism,https://everydayfeminism.com/,USA,MIXED,N/A,N/A,N/A,N/A,left
Evonomics,https://evonomics.com/,USA,HIGH,N/A,N/A,N/A,N/A,left
ExtraNewsFeed,https://extranewsfeed.com,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
Feminist Current,http://www.feministcurrent.com,Canada,HIGH,N/A,N/A,N/A,N/A,left
Feministing,http://feministing.com/,USA,MIXED,N/A,N/A,N/A,N/A,left
The Fifth Column,https://thefifthcolumnnews.com/,USA,MIXED,N/A,N/A,N/A,N/A,left
Fifth Estate,https://www.fifthestate.org/,USA (44/180 Press Freedom),HIGH,Magazine,Minimal Traffic,N/A,N/A,left
Finnish News,https://www.fifthestate.org/,N/A,N/A,N/A,N/A,N/A,N/A,left
Food and Water Watch,https://www.foodandwaterwatch.org,USA,MIXED,N/A,N/A,N/A,N/A,left
Foreign Policy Journal,https://www.foreignpolicyjournal.com,USA,MIXED,N/A,N/A,N/A,N/A,left
Foreign Policy News,http://foreignpolicynews.org,USA,MIXED,N/A,N/A,N/A,N/A,left
FreePress.org,https://freepress.org/,USA,MOSTLY FACTUAL,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,left
Free Rein News,http://frnewsreport.com,N/A,HIGH,N/A,N/A,N/A,N/A,left
Freedom From Religion Foundation (FFRF),https://ffrf.org/,USA,MIXED,N/A,N/A,N/A,N/A,left
Freedom News and Journal,https://freedomnews.org.uk/,United Kingdom,HIGH,Website,Minimal Traffic,MOSTLY FREE,N/A,left
Front Page Live,https://www.frontpagelive.com,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
FStv (freespeech.org),https://www.freespeech.org/,USA,MIXED,N/A,N/A,N/A,N/A,left
Gay Star News,https://www.gaystarnews.com/,United Kingdom (33/180 Press Freedom),MIXED,Website,Medium Traffic,N/A,N/A,left
Geopolitics Alert,https://geopoliticsalert.com/,USA,MIXED,N/A,N/A,N/A,N/A,left
Gizmodo,https://gizmodo.com,USA (44/180 Press Freedom),HIGH,Website,High Traffic,N/A,N/A,left
GLAAD,https://www.glaad.org/,USA,HIGH,Organization/Foundation,Medium Traffic,MOSTLY FREE,N/A,left
Global Voices,https://globalvoices.org/,USA,HIGH,N/A,N/A,N/A,N/A,left
Good Magazine,https://www.good.is/,USA,HIGH,N/A,N/A,N/A,N/A,left
GQ Magazine,https://www.gq.com,USA,HIGH,N/A,N/A,N/A,N/A,left
Grasping Reality With Both Hands: Bradford DeLong,http://www.bradford-delong.com/,USA,HIGH,N/A,N/A,N/A,N/A,left
Green Left Weekly,https://www.greenleft.org.au,Australia,MIXED,N/A,N/A,N/A,N/A,left
Grit Post,https://gritpost.com,USA,HIGH,N/A,N/A,N/A,N/A,left
Guardian Liberty Voice,https://guardianlv.com/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
Guardians of Democracy,https://theguardiansofdemocracy.com/,USA,MIXED,N/A,N/A,N/A,N/A,left
Haaretz,https://www.haaretz.com/,Israel (86/180 Press Freedom),HIGH,Newspaper,High Traffic,N/A,N/A,left
High Times,https://hightimes.com/,USA,MIXED,Magazine,Medium Traffic,MOSTLY FREE,N/A,left
Hill Reporter,https://hillreporter.com,USA,HIGH,N/A,N/A,N/A,N/A,left
Huffington Post (HuffPost),https://www.huffpost.com/,USA (44/180 Press Freedom),MIXED,Website,High Traffic,N/A,N/A,left
Human Rights Campaign (HRC),https://www.hrc.org,USA (44/180 Press Freedom),HIGH,Organization/Foundation,Medium Traffic,N/A,N/A,left
In Defence of Marxism,https://www.marxist.com/,United Kingdom (33/180 Press Freedom),MOSTLY FACTUAL,Organization/Foundation,Medium Traffic,N/A,N/A,left
In These Times,https://inthesetimes.com/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
The Independent Florida Alligator,https://inthesetimes.com/,USA,HIGH,Newspaper,Minimal Traffic,MOSTLY FREE,N/A,left
Inequality Media,https://www.inequalitymedia.org/,USA,HIGH,N/A,N/A,N/A,N/A,left
Informed Comment,https://www.juancole.com,USA (44/180 Press Freedom),MOSTLY FACTUAL,Website,Minimal Traffic,N/A,N/A,left
Institute for Policy Studies,https://ips-dc.org/,USA (44/180 Press Freedom),MOSTLY FACTUAL,Organization/Foundation,Minimal Traffic,N/A,N/A,left
International Viewpoint,https://internationalviewpoint.org/,United Kingdom,MIXED,Magazine,Minimal Traffic,MOSTLY FREE,N/A,left
Intrepid Report,http://www.intrepidreport.com/,USA,MIXED,N/A,N/A,N/A,N/A,left
Iowa Capital Dispatch,https://iowacapitaldispatch.com/,USA,MOSTLY FACTUAL,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,left
Iowa Starting Line,https://iowastartingline.com,USA,HIGH,N/A,N/A,N/A,N/A,left
It’s Going Down,https://itsgoingdown.org/,USA,MIXED,N/A,N/A,N/A,N/A,left
Jacobin,https://www.jacobinmag.com/,USA (45/180 Press Freedom),HIGH,Magazine,Medium Traffic,N/A,N/A,left
Jezebel,https://jezebel.com/,USA,HIGH,N/A,N/A,N/A,N/A,left
JoeBiden.com,https://jezebel.com/,USA (44/180 Press Freedom),MOSTLY FACTUAL,Website,Medium Traffic,N/A,N/A,left
Latest.com,https://latest.com,USA,MIXED,N/A,N/A,N/A,N/A,left
Lavender Magazine,https://www.lavendermagazine.com/,USA,HIGH,N/A,N/A,N/A,N/A,left
LA Weekly,https://www.laweekly.com/,USA,MIXED,N/A,N/A,N/A,N/A,left
Left Foot Forward,https://leftfootforward.org/,United Kingdom (44/180 Press Freedom),MIXED,Website,Minimal Traffic,N/A,N/A,left
Left Over Rights,http://leftoverrights.com/,N/A,N/A,N/A,N/A,N/A,N/A,left
Left Voice,http://www.leftvoice.org,USA (44/180 Press Freedom),MIXED,Website,Minimal Traffic,N/A,N/A,left
LeftScoop,https://www.leftscoop.com/,N/A,N/A,N/A,N/A,N/A,N/A,left
LGBTQ Nation,https://www.lgbtqnation.com/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
Libcom.org,http://libcom.org,USA (44/180 Press Freedom),MOSTLY FACTUAL,Website,Medium Traffic,N/A,N/A,left
Liberal America,http://liberalamerica.org/,USA,MIXED,N/A,N/A,N/A,N/A,left
Liberation News,https://www.liberationnews.org/,USA (44/180 Press Freedom),MOSTLY FACTUAL,Website,Minimal Traffic,N/A,N/A,left
Little Green Footballs,http://littlegreenfootballs.com/,USA,HIGH,N/A,N/A,N/A,N/A,left
Maine Beacon,http://mainebeacon.com/,USA (44/180 Press Freedom),HIGH,Organization/Foundation,Minimal Traffic,N/A,N/A,left
Mashable,https://mashable.com,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
Media Matters,https://www.mediamatters.org,USA (44/180 Press Freedom),HIGH,Organization/Foundation,Medium Traffic,N/A,N/A,left
Mediaite,https://www.mediaite.com/,USA (44/180 Press Freedom),MOSTLY FACTUAL,Website,High Traffic,N/A,N/A,left
Meduza,https://meduza.io/en,Latvia,HIGH,N/A,N/A,N/A,N/A,left
MeidasTouch,https://www.meidastouch.com/,N/A,N/A,N/A,N/A,N/A,N/A,left
Merry Jane,https://www.merryjane.com/,USA (45/180 Press Freedom),MIXED,Website,Medium Traffic,N/A,N/A,left
Miami New Times,http://www.miaminewtimes.com/,USA (45/180 Press Freedom),HIGH,Newspaper,Minimal Traffic,N/A,N/A,left
Middle East Monitor,https://www.middleeastmonitor.com/,United Kingdom,MIXED,N/A,N/A,N/A,N/A,left
Middletown Media (Muncie Voice),https://muncievoice.com/,USA (44/180 Press Freedom),MIXED,Website,Minimal Traffic,N/A,N/A,left
Milwaukee Independent,http://www.milwaukeeindependent.com/,USA,MOSTLY FACTUAL,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,left
Modern Liberals,http://modernliberals.com/,USA,MIXED,N/A,N/A,N/A,N/A,left
Monthly Review,https://monthlyreview.org/,USA,HIGH,N/A,N/A,N/A,N/A,left
Moon of Alabama,https://www.moonofalabama.org/,USA,MIXED,N/A,N/A,N/A,N/A,left
Ms. (Magazine),https://msmagazine.com/,USA (44/180 Press Freedom),HIGH,Magazine,Medium Traffic,N/A,N/A,left
MSNBC,https://www.msnbc.com/,USA (45/180 Press Freedom),MIXED,TV Station,High Traffic,N/A,N/A,left
Nation of Change,https://www.nationofchange.org/,USA,MOSTLY FACTUAL,N/A,N/A,N/A,N/A,left
National Association for the Advancement of Colored People (NAACP),https://www.naacp.org/,USA,HIGH,N/A,N/A,N/A,N/A,left
Natural Resources Defense Council (NRDC),https://www.nrdc.org/,USA (44/180 Press Freedom),MOSTLY FACTUAL,Organization/Foundation,Medium Traffic,N/A,N/A,left
NC Policy Watch,https://www.nrdc.org/,N/A,N/A,N/A,N/A,N/A,N/A,left
New Internationalist,https://newint.org/,United Kingdom,HIGH,N/A,N/A,N/A,N/A,left
New Politics Magazine,https://newpol.org/,USA,MIXED,N/A,N/A,N/A,N/A,left
New Republic,https://newrepublic.com/,USA (45/180 Press Freedom),HIGH,Magazine,Medium Traffic,N/A,N/A,left
New Statesman,https://www.newstatesman.com,United Kingdom (33/180 Press Freedom),HIGH,Magazine,Medium Traffic,N/A,N/A,left
New York Amsterdam News,http://amsterdamnews.com,USA,HIGH,N/A,N/A,N/A,N/A,left
New York Magazine,http://nymag.com/,USA (45/180 Press Freedom),HIGH,Magazine,High Traffic,N/A,N/A,left
New Yorker,https://www.newyorker.com/,USA (45/180 Press Freedom),HIGH,Magazine,High Traffic,N/A,N/A,left
News Corpse,https://www.newscorpse.com/,USA,MIXED,N/A,N/A,N/A,N/A,left
NewsHounds,https://www.newshounds.us/,USA,MIXED,N/A,N/A,N/A,N/A,left
NewsOne,https://newsone.com/,USA (44/180 Press Freedom),MOSTLY FACTUAL,Website,Medium Traffic,N/A,N/A,left
North99,https://north99.org/,Canada,MIXED,N/A,N/A,N/A,N/A,left
Now Magazine,https://nowtoronto.com/,Canada,HIGH,Magazine,Medium Traffic,MOSTLY FREE,N/A,left
Occupy.com,https://www.occupy.com,USA,HIGH,N/A,N/A,N/A,N/A,left
One Green Planet,http://www.onegreenplanet.org,USA,MIXED,N/A,N/A,N/A,N/A,left
OpEdNews (OEN),https://www.opednews.com/,USA (45/180 Press Freedom),MIXED,Website,Minimal Traffic,N/A,N/A,left
Open Society Foundations,https://www.opensocietyfoundations.org/,USA (45/180 Press Freedom),MIXED,Organization/Foundation,Medium Traffic,N/A,N/A,left
Out Magazine,https://www.out.com,USA,HIGH,N/A,N/A,N/A,N/A,left
Palmer Report,https://www.palmerreport.com,USA (44/180 Press Freedom),MIXED,Website,Medium Traffic,N/A,N/A,left
Paste Magazine,https://www.pastemagazine.com/,USA,HIGH,N/A,N/A,N/A,N/A,left
Peacock Panache,https://www.peacock-panache.com/,USA,MIXED,N/A,N/A,N/A,N/A,left
Pennsylvania Capital-Star,https://www.penncapital-star.com/,USA,MOSTLY FACTUAL,Organization/Foundation,Minimal Traffic,MOSTLY FREE,N/A,left
People for the American Way (PFAW),https://www.pfaw.org/,USA (44/180 Press Freedom),MOSTLY FACTUAL,Organization/Foundation,Minimal Traffic,N/A,N/A,left
People Magazine,https://people.com,USA (44/180 Press Freedom),HIGH,Magazine,High Traffic,N/A,N/A,left
PINAC,https://pinacnews.com/,USA (44/180 Press Freedom),HIGH,Website,Minimal Traffic,N/A,N/A,left
PinkNews,https://www.pinknews.co.uk,United Kingdom,HIGH,N/A,N/A,N/A,N/A,left
Political Dig,http://politicaldig.com/,USA,MIXED,N/A,N/A,N/A,N/A,left
Political Tribune (DC Tribune),https://polinews.org/,USA (45/180 Press Freedom),MIXED,Website,Medium Traffic,N/A,N/A,left
PoliticusUSA,https://www.politicususa.com,USA (44/180 Press Freedom),MIXED,Website,Medium Traffic,N/A,N/A,left
Politizoom,https://politizoom.com,USA,MIXED,N/A,N/A,N/A,N/A,left
