Country,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,Other North,Other South,World,
Bhutan,0,0,0,0,0,0,0,1,0,0,"6,040",33,0,0,0,0,0,0,282,0,0,8,0,0,0,0,0,0,36,0,0,0,0,0,"2,569",0,0,0,0,5,539,3,0,0,0,4,0,0,0,0,0,3,813,0,0,12,0,1,0,0,0,1,0,0,0,3,87,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,"6,580",0,0,0,33,0,0,38,0,0,2,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28,334",307,0,0,0,0,0,0,370,0,0,0,7,0,0,3,0,0,4,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,28,76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,379,144,0,0,0,0,0,0,0,0,0,0,0,0,"47,077",
Bolivia,0,0,0,0,0,0,0,"481,781",0,9,"1,000",483,0,0,0,0,0,0,"1,174",0,0,3,0,0,0,0,"47,563",0,27,0,0,0,0,0,"5,353",0,0,0,0,"39,084",175,874,0,0,0,432,0,31,60,0,13,139,164,0,0,502,"2,227",1,53,0,0,3,0,3,0,147,"3,194",0,0,0,0,"5,380",0,22,0,0,0,141,4,0,0,0,148,0,52,17,0,0,0,0,102,0,0,"15,248",0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,"1,672",0,0,0,0,0,0,0,0,0,0,925,0,0,67,0,0,0,540,0,0,0,468,0,"1,304","6,654",36,52,221,74,0,2,84,0,0,0,0,0,0,0,0,0,0,0,15,44,0,0,268,0,"168,994",0,2,0,0,0,0,0,0,"4,450","3,844",0,0,0,0,0,0,0,0,0,13,0,0,0,0,11,0,"3,316","79,461",377,0,0,"1,997",0,0,0,0,0,0,0,0,"880,525",
Bosnia and Herzegovina,0,"29,077",0,0,0,0,0,6,0,0,"38,160","162,021",0,0,0,0,0,0,601,0,0,1,0,10,0,0,84,0,167,0,0,0,0,0,"41,722",0,0,0,0,14,0,6,0,0,0,1,0,"394,146",4,0,81,"4,685","17,176",0,0,8,14,136,0,0,0,5,0,0,0,723,"14,442",0,0,0,0,"172,560",0,882,0,0,0,0,1,0,0,0,0,0,276,161,0,0,0,0,"1,139",0,0,"12,025",0,0,60,0,34,0,0,0,0,0,0,0,4,0,0,0,336,323,0,"2,569",0,"8,729",0,0,0,0,0,204,0,0,0,83,0,0,0,0,"29,462",0,0,0,0,0,"6,583",0,0,0,0,0,0,"13,487",0,0,0,1,0,0,11,0,"3,727",44,0,0,139,515,0,0,1,0,0,0,"333,687",0,0,0,0,419,"118,619",0,0,334,0,"2,121",0,0,0,0,0,0,0,0,"57,705","56,430",0,0,0,0,0,0,0,0,0,"3,507",0,0,0,0,38,0,"6,943","101,638",2,0,0,24,0,0,0,0,0,0,0,0,"1,638,113",
Botswana,0,0,0,0,0,0,0,5,0,0,"1,270",16,0,14,0,0,0,0,42,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,444,0,0,0,0,6,0,6,0,0,0,3,0,0,0,0,11,155,19,0,0,0,7,10,0,0,0,0,0,0,0,15,44,0,0,0,0,0,0,7,0,0,0,0,48,0,0,0,0,0,6,0,0,0,0,0,251,0,0,43,0,0,0,0,891,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,610,0,241,0,0,5,0,0,0,119,0,0,0,0,0,0,1,0,0,18,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,"69,160",0,0,0,0,0,0,0,0,0,42,110,72,0,0,411,0,0,0,0,0,0,20,0,0,0,0,0,0,"2,880",708,1,0,0,0,0,0,0,0,962,"4,039",0,0,"82,914",
Brazil,0,0,0,0,0,0,0,"51,220",0,135,"26,750","5,129",0,126,0,"15,274",0,93,"13,494",0,0,76,0,"26,738",5,0,0,0,171,0,0,293,0,0,"26,647",93,0,0,0,"18,986","115,347","2,496",0,0,0,"1,064",0,195,41,0,70,742,"3,049",0,0,"1,313","3,868",123,243,0,0,97,0,66,0,"1,378","58,276",0,0,0,0,"44,000",15,"2,175",0,0,0,249,157,0,"2,166",0,239,0,774,156,0,0,0,0,"11,068",0,"9,500","104,779",0,"206,976",105,0,71,0,"2,807",0,0,0,0,0,30,0,0,0,260,176,81,316,0,0,0,0,50,0,0,120,0,347,0,"5,832",0,0,67,0,0,0,0,0,494,0,"17,493",0,"3,827",126,0,0,0,"5,316",0,0,0,"2,067",0,"82,116","5,651",167,280,"138,664",126,0,38,433,0,0,28,0,0,631,98,1,0,0,0,131,401,0,0,"4,845",0,"116,068",0,97,12,0,0,0,"7,159",0,"7,341","37,816",0,0,0,"6,986",205,0,0,0,0,509,0,0,0,0,129,0,"55,772","409,595","12,882",0,0,"6,119",724,0,0,0,0,0,"17,622",0,"1,708,083",
Brunei Darussalam,0,0,0,0,0,0,0,7,0,0,"3,230",9,0,0,0,0,0,0,21,0,0,1,0,0,0,0,174,0,1,0,0,0,0,0,"5,106",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,8,0,0,0,0,68,0,0,0,0,0,0,0,2,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"25,134",0,0,0,26,0,0,30,0,0,24,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,204",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,609,0,0,0,0,0,0,31,0,0,0,4,0,0,9,84,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35,0,22,0,0,0,0,0,0,0,0,11,63,0,23,0,0,0,0,0,0,0,14,0,0,0,0,0,0,"5,222","1,080",1,0,0,0,121,0,0,0,0,0,0,2,"47,462",
Bulgaria,0,0,0,0,0,0,0,337,0,1,"4,020","23,839",138,21,0,0,0,60,"31,689",0,0,11,0,24,55,0,291,0,0,0,0,0,0,0,"20,410",0,0,0,0,115,246,90,0,0,0,71,0,296,139,0,"7,247","9,200","7,944",0,0,494,284,65,3,0,0,353,0,31,0,"2,095","17,893",0,0,0,229,"263,320",0,"71,571",18,0,0,0,2,0,0,0,0,0,"1,416",291,0,0,0,0,"2,122",0,"12,540","59,144",0,0,49,"4,369",51,0,0,0,0,0,0,0,135,0,0,0,0,12,104,931,0,"1,073",0,0,0,0,0,"1,132",0,0,0,458,0,124,12,15,67,0,0,0,26,0,"21,926",0,0,64,0,0,0,"6,478",0,0,0,75,0,0,80,21,"1,854","5,350",0,0,"18,271","5,845",0,0,3,0,0,0,"2,002",3,0,0,0,"2,326","1,730",0,0,"6,494",0,"124,709",0,0,0,0,0,0,0,0,"8,757","7,137",0,0,0,0,0,0,0,0,0,"570,585",0,0,0,0,"2,062",0,"71,000","70,800",28,622,0,144,185,0,0,0,0,0,0,0,"1,475,224",
Burkina Faso,0,0,0,0,0,0,0,16,0,0,60,145,0,0,0,0,0,0,"1,487",0,"10,267",2,0,0,0,0,30,0,19,0,0,0,0,0,"1,173",0,161,0,0,2,0,2,0,0,0,0,"1,307,265",0,0,0,0,32,43,0,0,0,7,62,0,0,0,0,0,0,0,16,"8,873",0,"6,661",0,0,"1,838","92,876",77,0,0,0,0,571,0,0,0,0,0,10,1,0,0,0,0,17,0,0,"11,914",0,0,2,0,875,0,0,0,0,0,0,0,0,0,0,232,0,0,0,3,0,0,0,0,0,0,"25,138",1,0,0,0,6,0,0,0,0,0,0,0,0,65,0,382,0,0,0,"22,577","7,883",0,33,0,0,0,1,0,0,9,0,1,19,0,0,0,445,0,0,0,16,0,0,0,0,31,0,0,2,6,0,0,0,0,"1,315",0,0,0,0,0,0,0,0,79,658,0,0,0,0,0,"13,950",0,0,0,0,0,0,0,0,0,0,193,514,0,0,0,0,0,0,0,0,0,0,0,0,"1,518,063",
Burundi,0,0,0,0,0,0,0,2,0,0,"2,390",82,0,0,0,0,0,0,"7,270",0,0,0,0,0,0,0,25,0,26,0,0,0,0,71,"7,237",0,52,0,0,2,258,1,0,"41,654",0,4,0,0,0,0,5,11,507,0,0,4,0,35,0,0,"1,052",0,42,0,0,57,"1,894",0,161,0,0,715,0,130,0,0,0,0,37,0,0,0,0,0,6,0,0,0,0,0,127,0,0,"1,046",0,0,0,0,"4,321",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,"8,402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,"2,193",0,0,0,0,0,0,"1,060",0,0,0,1,0,0,3,0,8,4,0,0,0,131,"64,729",0,0,103,0,0,0,0,0,0,0,5,3,0,0,"10,822",0,108,0,0,0,0,0,4,0,227,"2,935",574,0,0,"233,606",0,0,13,0,0,0,4,0,0,0,"64,092",12,0,"3,951",456,3,0,0,0,0,0,0,0,"3,401",521,0,0,"466,962",
Cabo Verde,0,0,0,0,0,"62,498",0,69,0,3,40,41,0,0,0,0,0,0,793,0,0,23,0,133,0,0,"1,463",0,10,0,0,0,0,0,245,0,0,0,0,2,0,8,0,0,0,4,328,0,0,0,0,21,31,0,0,4,0,0,3,0,0,0,0,3,0,13,"22,630",0,0,0,0,0,0,38,0,0,0,0,63,578,0,0,0,0,8,35,0,0,0,0,18,0,0,"6,067",0,0,0,0,"1,351",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,714",0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,"7,506",0,0,0,"11,762",0,0,0,0,"4,042",0,399,0,0,0,1,0,0,1,135,0,"61,492",0,0,1,45,0,0,0,"1,305",0,0,0,0,5,0,0,0,6,0,0,0,0,"4,431",0,0,0,0,0,0,0,0,379,"2,558",0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,"1,048","44,519",1,0,0,4,0,0,0,0,0,0,0,0,"237,921",
Cambodia,0,0,0,0,0,0,0,54,0,0,"36,920",873,0,0,0,"20,109",0,0,"1,462",0,0,4,0,0,0,0,33,0,19,0,0,0,0,5,"27,618",0,0,0,0,5,464,8,0,0,0,10,0,0,2,0,0,46,238,0,0,163,29,7,0,0,0,5,0,0,0,280,"64,306",0,0,0,0,"2,703",0,21,0,0,0,0,8,0,0,0,0,0,59,1,0,0,0,0,42,0,0,"1,324",0,"3,518",0,0,25,0,0,"14,550",0,0,0,"3,568",0,0,0,0,0,0,0,1,0,0,0,0,"17,226",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,755,774,"7,007",0,0,0,0,426,0,0,0,1,0,0,1,40,28,2,0,0,4,114,0,0,0,0,0,0,0,0,0,0,0,11,6,69,0,0,0,95,0,2,0,0,0,0,0,0,611,"2,451",0,0,0,"750,109",0,0,0,0,0,11,0,0,0,0,30,0,"1,069","152,415",0,0,0,0,"2,485",0,0,0,0,0,0,0,"1,114,226",
Cameroon,0,0,0,0,0,0,0,53,0,0,470,734,0,0,0,0,0,0,"17,383",0,0,7,0,12,0,0,170,0,22,0,0,0,0,0,"9,422",0,"11,463","34,988",0,8,592,10,0,0,"11,469",28,0,0,3,0,67,176,755,0,0,23,67,119,0,877,0,23,0,8,0,853,"82,513",0,"48,255",0,0,"19,963",133,453,0,0,0,0,190,0,0,0,0,0,281,7,0,0,0,0,937,0,0,"12,096",0,0,0,0,"5,307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,"4,629",4,0,847,0,43,0,0,1,0,0,0,0,0,108,0,"1,865",0,0,2,487,"48,162",0,717,0,0,0,7,0,0,12,0,40,76,0,0,47,334,0,0,0,281,0,987,0,0,0,0,0,13,23,0,0,"4,078",0,"6,034",0,0,0,0,0,0,0,0,"1,360","7,421",0,0,0,359,0,714,0,0,730,24,0,0,0,0,61,0,"11,000","49,430",9,0,0,4,0,0,0,0,254,0,0,0,"400,165",
Canada,0,913,634,0,0,0,442,"2,062",0,62,"51,330","2,461",0,"1,633",0,0,898,154,"5,014",897,0,"2,281",41,"1,436",18,432,"1,944",0,713,0,0,0,44,916,0,"1,863",202,0,0,"2,293","19,990","1,051",0,0,0,"2,843",0,977,63,91,"1,771","1,809","2,202",0,185,"4,925","3,410","1,173",246,0,0,62,0,26,0,"1,567","26,128",154,278,0,0,"13,000",320,"12,382",18,341,0,413,189,59,406,"1,335",352,"14,889","2,543",285,"1,625","2,193",0,0,"5,724",208,"9,630","24,818","1,979","13,902",328,0,870,0,334,"18,648",0,0,0,0,133,0,0,48,"2,913",0,69,251,0,0,108,0,257,98,0,"2,203",0,114,99,"9,816",0,0,200,137,59,0,0,0,173,0,"10,004",0,"10,214",260,0,0,0,"3,093",0,0,0,"1,866",275,"2,340","1,424","5,740","3,163","7,516",156,0,572,558,130,13,0,0,0,0,607,17,34,"4,847",39,499,"2,621",0,0,"9,401",0,"6,671",252,85,258,0,436,0,0,19,"3,596","11,771",0,50,"3,752","5,851",0,49,0,"1,788",0,"2,114",0,498,0,388,208,0,"95,000","783,206",363,0,44,"1,153","1,520",0,0,0,209,0,800,197,"1,276,770",
Cayman Islands,0,0,0,0,0,0,0,0,0,1,140,0,0,23,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,278,0,0,0,0,2,0,17,0,0,0,8,0,0,13,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,748,"3,833",3,0,0,0,0,0,0,0,0,0,0,0,"5,320",
Central African Republic,0,0,0,0,0,0,0,0,0,4,30,25,0,0,0,0,0,0,439,0,0,1,0,67,0,0,13,0,0,0,0,0,0,"285,641",272,0,0,"89,598",0,5,0,7,0,"275,050","33,186",5,0,0,3,0,17,6,22,0,0,138,3,68,0,0,0,1,0,0,0,4,"16,972",0,0,0,0,0,0,385,0,0,0,0,17,0,0,0,0,0,6,0,0,0,0,0,11,0,0,271,0,0,0,0,834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,0,"2,211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,18,0,0,0,9,0,0,0,0,9,2,0,0,2,91,0,0,0,303,0,0,0,0,0,0,0,2,3,0,0,195,"4,580",163,0,0,0,0,0,"15,909",0,0,108,211,0,0,0,0,0,384,0,0,0,10,0,0,0,0,0,0,139,688,0,0,0,0,0,0,0,0,0,0,0,0,"728,216",
Chad,0,0,191,0,0,216,0,0,0,0,60,25,0,0,445,0,0,0,533,0,721,0,0,0,0,0,0,0,6,0,0,0,0,"158,431","1,059",0,"66,690",0,0,22,123,6,0,0,"10,723",2,0,0,0,0,0,17,14,0,0,4,0,354,0,0,0,0,0,0,0,8,"7,530",0,"4,311",0,0,317,17,18,0,0,0,0,377,0,0,0,0,0,2,0,0,0,0,0,25,0,0,509,0,0,25,0,"1,654",0,0,0,0,"1,422",0,0,0,0,0,0,879,0,0,4,0,0,0,0,0,0,0,4,0,116,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,883,"52,251",0,33,0,0,0,1,0,0,2,0,0,5,0,973,1,152,0,0,0,463,0,0,0,0,0,0,0,138,1,0,0,0,"5,190",123,0,0,0,0,0,"87,884",0,0,71,300,0,0,0,0,0,731,0,0,0,8,0,0,0,0,15,"5,103",303,381,0,0,0,0,0,0,0,0,0,0,0,0,"411,961",
Channel Islands,0,0,0,0,0,0,0,0,0,0,"2,203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,"24,022",0,1,0,0,0,0,0,0,0,0,0,0,0,"26,639",
Chile,0,0,0,0,199,0,0,"221,109",0,28,"30,550","1,260",0,36,0,0,0,0,"4,234",0,0,16,0,"4,923",7,0,"18,910",0,35,0,0,0,0,0,"31,097",0,0,0,0,0,411,"2,162",0,0,0,"1,749",0,195,183,0,56,202,"1,373",0,0,"2,615","16,518",35,230,0,0,14,0,3,0,449,"14,620",0,0,0,0,"15,994",0,360,0,0,0,313,10,0,0,707,312,0,149,73,0,0,0,0,301,0,"3,380","12,192",0,0,8,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,62,0,0,0,0,0,0,0,12,0,60,0,"5,160",0,0,14,0,0,0,0,0,28,0,"3,365",0,"2,569",130,0,0,0,"6,656",0,0,0,"1,872",0,"2,551","8,350",95,64,202,769,0,32,107,0,0,5,0,0,0,0,0,0,0,0,28,133,0,0,"1,102",0,"55,604",0,0,0,0,0,0,0,0,"28,072","7,312",0,0,0,0,0,0,0,0,0,66,0,0,0,0,6,0,"6,290","93,647","1,682",0,1,"15,500",0,0,0,0,0,0,79,0,"628,656",
China,0,0,683,849,0,0,137,"15,924",0,"1,134","526,040","15,986",427,179,0,"174,487",43,0,"19,813","2,117",0,346,973,"1,173",18,"4,382","23,769","2,172","1,471",0,0,23,"1,566",0,"711,555",0,127,0,0,"9,823",0,"2,176",0,0,937,"9,422",0,434,307,499,"1,884","5,219","10,611",0,38,"4,995","4,265","1,266",260,0,135,312,0,33,935,"9,956","111,717",732,331,0,256,"129,150",264,"4,414",11,0,"2,942",683,164,0,"1,166",739,601,"2,343,868","18,193",609,"7,035","73,971",0,0,"13,640",0,"1,130","212,173",0,"741,022","20,936","5,142","1,487",0,"28,877","656,846",0,0,303,"13,951",237,"2,987",124,0,"3,142",79,280,"1,117","290,609",0,"2,813",0,"54,980",0,613,447,318,346,"23,210","8,860",344,361,10,"9,683",0,0,0,"47,742","2,881","24,394","54,413",122,"98,109",144,0,0,"2,892","11,520",0,312,519,"19,273",92,800,"4,751","37,083","1,262","10,806","1,116",0,"4,909","56,210",105,68,11,0,0,0,"1,750",515,268,"462,632",180,"1,135","1,038",192,0,"38,684",0,"183,583","2,482",10,49,0,0,"1,310","5,436",0,"28,410","22,286",0,48,"22,542","149,352","1,249",530,168,871,0,"2,190",298,0,0,597,"6,625",0,"226,000","2,130,352",165,"1,933",107,"14,081","8,639",0,0,0,"1,055",0,"1,772",371,"10,060,253",
Colombia,0,0,0,0,0,0,0,"50,793",0,"9,827","18,770","1,765",0,201,0,0,0,0,"6,351",0,0,24,0,"3,085",0,0,"8,395",0,49,0,0,0,0,0,"70,405",539,0,0,0,"24,427",823,0,0,0,0,"24,573",0,43,165,"4,897",148,372,"1,198",0,0,"6,494","200,539",54,580,0,0,36,0,30,0,"1,060","27,644",0,0,0,0,"22,190",0,393,0,0,0,"1,202","2,548",0,0,"1,758",876,0,238,189,0,0,0,0,0,0,"3,090","38,919",0,0,24,0,45,0,0,0,0,0,0,0,7,0,0,0,0,37,0,28,0,0,0,0,0,0,0,11,0,0,0,"18,735",0,0,0,0,0,0,0,0,0,0,"14,447",0,"1,228",460,0,0,0,"5,778",0,0,0,"57,051",0,329,"6,902",128,133,667,"4,002",0,8,206,0,0,4,0,0,0,0,0,0,0,215,56,73,0,0,979,0,"354,108",0,0,0,0,0,0,0,0,"11,914","12,827",0,0,0,0,0,0,0,0,0,72,0,0,0,0,14,0,"26,623","704,587",749,0,0,"988,483",0,0,0,0,0,0,"5,269",0,"2,750,889",
Comoros,0,0,955,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,0,0,0,0,2,0,1,0,0,0,8,0,0,0,0,0,4,15,0,0,0,0,"1,769",0,0,193,0,0,0,0,3,"37,190",0,0,0,0,0,0,71,0,0,0,0,739,0,0,0,0,0,3,0,0,0,0,0,2,0,0,24,0,0,12,0,"2,397",0,0,0,0,0,0,0,0,0,0,0,"4,391",0,0,0,0,0,"11,557",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,5,0,0,0,4,0,0,3,0,17,2,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,320,0,0,0,0,0,0,0,0,0,0,3,39,0,0,710,0,0,0,0,0,0,2,0,0,0,0,0,0,126,73,1,0,0,0,0,0,0,0,0,0,0,"56,791","117,846",
"Congo, Dem. Rep.",0,0,0,0,0,"258,105",0,4,0,0,"5,090",947,0,0,0,0,0,0,"85,184",0,0,1,0,3,0,"3,513",119,0,22,0,"173,417",0,0,"6,393","21,445",0,"34,601",462,0,16,154,13,0,0,"266,319",10,0,0,7,0,805,263,"1,696",0,0,8,3,179,0,0,"1,698",6,107,0,0,"1,671","77,889",0,"8,485",0,0,"9,507",35,205,0,0,0,0,74,0,0,0,0,0,45,0,0,0,0,0,572,0,0,"6,193",0,0,6,0,"11,231",0,0,0,0,0,0,0,0,0,0,0,443,0,0,103,0,0,0,"2,250",0,0,0,8,0,91,0,65,0,0,0,0,0,0,"2,588",0,"2,954",0,"4,963",0,0,48,0,0,0,248,0,0,0,4,0,0,1,33,16,"1,877",0,0,3,15,"231,438",0,0,559,0,0,0,0,0,0,0,8,8,0,0,"50,340","87,871","1,420",0,0,0,0,0,943,0,168,"3,381","1,206",0,0,"105,174",16,0,667,0,0,0,86,0,0,0,"298,749",8,0,"24,575","25,147",5,0,0,7,0,0,0,0,"22,670","3,204",0,0,"1,849,863",
"Congo, Rep.",0,0,0,0,0,"7,189",0,46,0,0,"1,350",330,0,0,0,0,0,0,"4,002",0,"1,971",1,0,7,0,0,97,0,19,0,0,0,0,"6,569","1,923",0,"2,388",807,0,15,870,13,0,"6,979",0,8,0,0,23,0,0,107,564,0,0,0,39,166,0,0,0,3,0,0,0,120,"70,529",0,"15,547",0,0,"16,536",0,"1,388",0,0,0,0,118,0,0,0,0,0,82,5,0,0,0,0,"2,709",0,0,"3,176",0,0,5,0,"3,913",0,0,0,0,0,0,0,0,0,0,0,411,0,0,0,0,0,0,"11,605",0,0,"31,496",11,0,0,0,15,0,0,1,0,0,"1,927",0,0,"1,036",0,950,0,0,8,0,0,0,"2,297",0,0,0,7,0,0,10,545,114,492,0,0,4,580,0,0,4,66,0,0,0,3,0,0,0,24,8,0,0,"32,497",0,"1,967",0,0,0,0,0,1,0,74,806,"6,881",0,0,"29,814",0,0,263,0,0,0,0,0,0,0,0,86,0,"9,032",953,4,0,0,5,0,0,0,0,"8,897",0,0,0,"292,508",
Costa Rica,0,0,0,0,0,0,0,636,0,56,500,191,0,56,0,0,0,0,300,0,0,12,0,151,0,0,473,0,10,0,0,0,0,0,"9,520",169,0,0,0,577,200,"1,128",0,0,0,0,0,0,41,0,5,78,130,0,0,"2,146","1,365",1,881,0,0,6,0,0,0,67,763,0,0,0,0,"1,897",0,37,0,0,0,"1,209",114,0,0,582,869,0,48,9,0,0,0,0,27,0,0,"1,507",150,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,"3,359",0,0,0,0,0,0,0,0,0,0,791,0,0,"11,057",0,0,0,284,0,0,0,"8,012",0,47,394,40,39,20,"1,007",0,3,32,0,0,0,0,0,0,0,0,0,0,0,16,9,0,0,0,0,"3,798",0,0,0,0,0,0,0,0,423,941,0,0,0,0,0,0,0,0,0,82,0,0,0,0,23,0,637,"85,133",66,0,0,"1,144",0,0,0,0,0,0,1,0,"143,285",
